시군구명,법정동,아파트명,도로명,지번
성북구,정릉동,정릉2차e-편한세상,북악산로,1035
강동구,길동,에스아이팰리스강동센텀I,천중로42길,388-2
중랑구,중화동,남광타운,망우로25길,413-8
양천구,목동,목동에버하임,목동중앙북로,966
영등포구,영등포동,라르파크,신길로61길,651
영등포구,영등포동,영등포푸르지오,도신로29길,647
동대문구,이문동,대림e-편한세상,한천로63길,225
성동구,금호동3가,두산,동호로,1331
영등포구,신길동,보라매두산위브,여의대방로9길,4497
영등포구,당산동5가,성원,양평로,40
동대문구,전농동,래미안크레시티,사가정로,690
동대문구,장안동,시온,답십리로66길,393-8
노원구,월계동,월계센트럴아이파크,초안산로2라길,951
동작구,신대방동,한성아파트,여의대방로10길,470-8
강동구,길동,강동헤리티지자이,천중로,483
동대문구,회기동,신현대,이문로1길,65
마포구,도화동,마포동원베네스트,도화4길,564
마포구,도화동,우성,삼개로,82
강동구,상일동,고덕아르테온,고덕로,519
은평구,진관동,우물골2단지두산위브(245~255동)BL2-6,진관2로,81
동작구,신대방동,동작협성휴포레시그니처,시흥대로,686-48
중랑구,면목동,용마산하늘채,용마산로,1537
양천구,신월동,신안약수,중앙로29길,591-1
동작구,상도동,상도푸르지오클라베뉴,성대로,906
강서구,가양동,가양도시개발9-2단지,허준로,1490
도봉구,창동,대우그린,덕릉로,814
구로구,개봉동,삼환,남부순환로95길,470
강서구,등촌동,동성,강서로68길,691-1
성북구,정릉동,길음뉴타운경남아너스빌,정릉로,1015
강서구,등촌동,주공3,강서로56나길,688
성북구,정릉동,정릉푸른마을동아,서경로,210
구로구,개봉동,두산,남부순환로95길,472
영등포구,당산동,강변래미안,버드나루로,376
강서구,염창동,극동,양천로69길,246-23
강서구,마곡동,마곡엠밸리5단지,마곡서1로,740
노원구,하계동,극동,섬밭로,271-3
강서구,방화동,마곡중앙하이츠아파트,양천로6길,852
성북구,장위동,래미안장위퍼스트하이,한천로,320
강서구,염창동,신동아,양천로67길,289
금천구,독산동,진도3차아파트,범안로17길,1136
성북구,보문동6가,보문파크뷰자이,보문사길,458
영등포구,문래동3가,국화맨션,도림로,76-1
동작구,대방동,성원,여의대방로44길,500
동작구,상도동,힐스테이트 상도 센트럴파크,상도로,531
성동구,옥수동,옥수이테크빌,독서당로40길,558
은평구,응암동,백련산해모로,응암로30길,768
서대문구,남가좌동,DMC센트레빌,거북골로,381
은평구,진관동,박석고개1단지힐스테이트(116~131동)BL2-1,진관1로,102
관악구,봉천동,e편한세상서울대입구1단지,청룡10길,1730
관악구,봉천동,두산,은천로,1708
강남구,세곡동,세곡푸르지오,자곡로,533
용산구,후암동,브라운스톤남산,후암로,458
성동구,용답동,청계SKVIEW,천호대로,253
관악구,신림동,신림현대,신림로29길,1694
서대문구,홍은동,풍림2,세검정로1길,453-2
동작구,사당동,삼성래미안,사당로23바길,1133
마포구,망원동,함성드림빌,월드컵로31길,505
동작구,신대방동,경남교수,여의대방로10길,710
강동구,길동,다성이즈빌,천중로40길,481
광진구,자양동,현대강변,자양로3가길,673
양천구,신월동,당곡,남부순환로,547-9
강서구,마곡동,마곡엠밸리9단지,공항대로,744
양천구,신월동,궁전,곰달래로5길,127-1
강동구,암사동,선사현대아파트,상암로,509
강서구,등촌동,부영,강서로56나길,691-3
서대문구,냉천동,동부센트레빌,독립문로14길,260
양천구,목동,목동신시가지1,목동서로,901
양천구,신정동,현대,신목로,1252
양천구,신월동,목동센트럴아이파크위브4단지,남부순환로83길,1078
강서구,화곡동,삼성,국회대로7길,854-1
양천구,목동,청학,목동동로12길,938
서대문구,홍제동,제니스뷰아파트,홍제원길,196-26
강동구,상일동,고덕롯데캐슬베네루체,상암로79길,514
마포구,성산동,성산시영(대우),월드컵북로,446
서대문구,홍제동,홍제한양,통일로25길,82
강서구,화곡동,초록,강서로45다길,1139
강서구,염창동,대림,공항대로75길,262-2
강동구,강일동,강일리버파크2단지,아리수로97길,668
서대문구,연희동,대우푸르지오,연희로,739
강서구,염창동,강변힐스테이트,양천로75길,299
강서구,내발산동,우장산힐스테이트,강서로,657
강서구,화곡동,강서힐스테이트,우현로,1165
서대문구,북아현동,힐스테이트신촌,이화여대8길,1017
강서구,등촌동,삼성한사랑1,양천로66길,632-4
강서구,등촌동,"등촌7,8단지주공아파트",공항대로43길,707
강동구,상일동,고덕자이,상일로,521
강서구,화곡동,우장산에스케이뷰,우현로,1158
강서구,가양동,가양6단지,허준로,1485
강동구,고덕동,배재현대,고덕로61길,312
강동구,강일동,강동리버스트4단지,아리수로93가길,114
서대문구,홍은동,북한산두산위브2차,홍은중앙로1길,468
강동구,천호동,강동역신동아파밀리에,천호대로,447-17
강동구,천호동,대우한강베네시티,올림픽로,425-5
강동구,고덕동,고덕그라시움,고덕로,693
서대문구,홍제동,홍제삼성래미안,통일로,461
마포구,성산동,월드컵아이파크(667),모래내로9길,667
마포구,상암동,상암월드컵파크2단지,월드컵북로47길,1637
마포구,망원동,대림2,망원로1길,497
마포구,중동,건영월드컵,성암로,393
마포구,신수동,밤섬경남아너스빌,독막로28길,459
마포구,아현동,공덕자이,마포대로24길,800
강동구,암사동,현대홈타운,고덕로27길,400
마포구,도화동,현대홈타운,새창로8길,353
마포구,공덕동,래미안공덕5차,마포대로,469
양천구,신월동,목동센트럴아이파크위브2단지,남부순환로83길,1076
마포구,현석동,래미안웰스트림,토정로18길,225
마포구,아현동,더클래시,신촌로28길,804
마포구,염리동,마포프레스티지자이,대흥로24길,532
강동구,상일동,고덕리엔파크3단지,상일로,490
강동구,고덕동,래미안힐스테이트고덕,아리수로50길,688
마포구,창전동,신촌금호,서강로9길,438
강동구,명일동,명일지에스아파트,상암로51길,332
마포구,신수동,신촌숲아이파크,광성로,462
마포구,상암동,상암월드컵파크5단지,상암산로1길,1658
양천구,신월동,신월시영,신월로,987-1
서대문구,남가좌동,DMC에코자이,거북골로,389
강동구,성내동,코오롱(1차),천호대로168길,196-8
양천구,신정동,길훈로즈빌,목동동로,1297
양천구,목동,목동청구한신아파트,목동서로2길,929
양천구,신정동,목동힐스테이트,중앙로36길,1323
양천구,신정동,푸른마을4,신정로7길,1285
양천구,목동,목동신시가지2,목동서로,902
양천구,목동,대원칸타빌2,목동중앙로,941
양천구,신정동,대림아크로빌,목동서로,324-7
양천구,신월동,대주파크빌,남부순환로85길,1028
서대문구,홍제동,문화촌현대,문화촌길,463
마포구,아현동,마포래미안푸르지오4단지,마포대로,777
서대문구,남가좌동,DMC금호리첸시아,수색로2길,396
성동구,옥수동,극동그린,독서당로,436
동작구,사당동,사당우성3,동작대로29길,105
관악구,신림동,LIG대학마을(건영아파트3차),신림로3길,1703-1
동작구,사당동,극동(105),동작대로29길,105
동작구,상도동,힐스테이트 상도 프레스티지,상도로,533
동작구,신대방동,현대,여의대방로,707
동작구,신대방동,롯데낙천대,여의대방로10길,713
동작구,상도동,중앙하이츠빌,상도로,415
관악구,봉천동,봉천동아,관악로,1703
동작구,사당동,삼익그린뷰,남부순환로255길,1150
중구,신당동,현대,다산로36길,840
동작구,상도동,경향렉스빌,양녕로23길,445
동작구,상도동,두산위브트레지움2차,상도로30길,535
동작구,신대방동,보라매자이더포레스트,여의대방로22길,724
동작구,사당동,사당롯데캐슬골든포레,사당로,1160
동작구,상도동,상도역롯데캐슬파크엘,양녕로,904
동작구,흑석동,청호,서달로2길,327
송파구,풍납동,동아한가람1,한가람로,506
관악구,신림동,국제산장,호암로,1693
관악구,신림동,건영2,난곡로35길,721-2
서초구,서초동,래미안서초유니빌,서초중앙로,1445-4
강남구,개포동,삼익대청아파트,개포로109길,12
강남구,개포동,개포자이프레지던스,삼성로,1284
강남구,삼성동,서광아파트,선릉로130길,2
강남구,개포동,성원대치2단지아파트,개포로109길,12
강남구,청담동,진흥아파트,학동로,65
강남구,대치동,대치삼성,도곡로78길,1014-3
중구,신당동,신당푸르지오,다산로36길,850
중구,신당동,삼성,청구로1길,843
서초구,서초동,초원현대,효령로68길,1444-3
서초구,서초동,서초쌍용플래티넘,서초중앙로,1445-13
서초구,우면동,대림,바우뫼로7길,57
관악구,신림동,동부,신원로,1695
중구,신당동,한진해모로,왕십리로39길,845
중구,묵정동,묵정,서애로1길,11-67
관악구,신림동,관악산휴먼시아1단지,난곡로,1735-1
관악구,봉천동,관악푸르지오,관악로30길,1717
관악구,신림동,관악산휴먼시아2단지,난곡로,1735
관악구,봉천동,e편한세상서울대입구2차,참숯1길,1733
관악구,봉천동,관악드림(삼성),성현로,1712
관악구,신림동,건영1,문성로,746-43
관악구,봉천동,벽산블루밍3차,은천로15길,1720
동작구,사당동,사당롯데캐슬2차,사당로27길,1149
동작구,대방동,현대홈타운2,알마타길,506
서대문구,북가좌동,DMC래미안e편한세상,수색로,481
금천구,시흥동,예일,독산로10길,920-35
금천구,시흥동,럭키남서울아파트,시흥대로47길,1002-1
구로구,구로동,주공2,구일로4길,685-223
구로구,구로동,현대상선,구일로10길,685-147
구로구,오류동,영풍마드레빌,경인로8길,342
구로구,고척동,한효,중앙로5길,52-332
구로구,개봉동,개봉동현대아이파크,개봉로2길,489
구로구,구로동,대림오페라타워,구로중앙로,98
구로구,신도림동,동아1,신도림로,643
구로구,개봉동,한진,개봉로3길,478
송파구,신천동,잠실더샵스타파크,올림픽로35가길,7-14
구로구,신도림동,우성1,신도림로,312-17
구로구,구로동,뉴홍현솔레디움,구로동로42길,1270
구로구,신도림동,동아3,신도림로,645
구로구,개봉동,현대,개봉로20길,481
구로구,구로동,새솔금호,공원로,108-2
구로구,구로동,성락,도림로20길,145-23
구로구,오류동,동부골든,고척로,338
구로구,신도림동,동아2,경인로,644
금천구,독산동,독산현대,범안로17길,293-10
송파구,문정동,올림픽훼밀리타운,중대로,150
금천구,시흥동,남서울건영2,독산로10길,384-12
영등포구,신길동,신길파크자이,신길로28길,4967
영등포구,당산동1가,진로,당산로,16-1
영등포구,양평동3가,양평현대6차,선유로,101
영등포구,문래동6가,e편한세상 문래 에듀플라츠,선유서로,58
영등포구,당산동4가,당산삼성2차,당산로36길,94-1
송파구,신천동,장미1,올림픽로35길,7
송파구,가락동,두산위브,송파대로30길,98
송파구,잠실동,레이크팰리스,잠실로,44
영등포구,문래동2가,남성,경인로77길,35
영등포구,문래동3가,문래힐스테이트,문래로,94
송파구,장지동,송파더센트레,위례광장로,879
영등포구,여의도동,진주,국제금융로,54
송파구,잠실동,리센츠,올림픽로,22
송파구,가락동,래미안파크팰리스,동남로,165
송파구,가락동,가락쌍용(2차),송이로15길,21-6
송파구,신천동,파크리오,올림픽로,17
영등포구,대림동,성락,대림로34다길,687-1
영등포구,신길동,대방전철,여의대방로61길,1343
영등포구,대림동,현대1,도신로4길,785-1
영등포구,대림동,코오롱,도영로,607-1
금천구,시흥동,벽산,금하로,1010
서대문구,홍제동,홍제역해링턴플레이스,세무서8길,474
서대문구,북아현동,e편한세상신촌4단지,신촌로35길,1013
노원구,상계동,상계주공3(고층),동일로215길,730-2
도봉구,쌍문동,e편한세상,노해로41가길,731
광진구,구의동,현대프라임,광나루로56길,631-1
도봉구,창동,삼성래미안,노해로66길,45
도봉구,창동,대동,도봉로,811
광진구,자양동,경남아너스빌,자양로3길,666-28
강북구,미아동,삼성래미안트리베라2단지,삼양로27길,812
강북구,미아동,경남아너스빌(1356-0),오패산로30길,1356
광진구,자양동,더샵스타시티,아차산로,227-7
광진구,자양동,우성2,뚝섬로,520-2
강북구,미아동,벽산라이브파크,솔샘로,1354
광진구,자양동,한라아파트,뚝섬로33길,762
강북구,수유동,수유벽산2차,삼각산로,648
