조회연월,거래년,거래월,거래일,시군구코드,시군구명,법정동,도로명,아파트명,거래금액(만원),전용면적(㎡),층,건축년도,거래일자,기준금리,주담대금리,CPI,주택매매가격지수,주택전세가격지수,아파트매매가격지수,현금통화,경제활동인구,경도,위도,최단지하철역,역거리,역도보시간,버스정류장수,병원거리,마트수,편의점수,공원개수,고속도로거리
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,59.99,저층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,59.99,중층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,59.99,고층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,84.99,저층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,84.99,중층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,84.99,고층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,112.87,저층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,112.87,중층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10024,은평구,수색동,수색로,DMC SK VIEW,,112.87,고층,2023,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.8959227,37.5810965,수색역 경의중앙선,34.0,0.5,4.0,114.0,3.0,13.0,14.0,2121.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,16.03,저층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,16.03,중층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,16.03,고층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,59.9,저층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,59.9,중층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,59.9,고층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,74.34,저층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,74.34,중층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,74.34,고층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,84.99,저층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,84.99,중층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,10023,서대문구,남가좌동,수색로2길,DMC금호리첸시아,,84.99,고층,2024,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.916165,37.570789,가좌역 경의중앙선,256.0,3.7,1.0,119.0,4.0,13.0,23.0,701.0
202510,2025,11,30,12013,서대문구,북가좌동,증가로,DMC두산위브,,84.97,저층,2007,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.9172378,37.5802688,증산역 6호선,785.0,11.2,0.0,308.0,6.0,18.0,24.0,956.0
202510,2025,11,30,12013,서대문구,북가좌동,증가로,DMC두산위브,,84.97,중층,2007,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.9172378,37.5802688,증산역 6호선,785.0,11.2,0.0,308.0,6.0,18.0,24.0,956.0
202510,2025,11,30,12013,서대문구,북가좌동,증가로,DMC두산위브,,84.97,고층,2007,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.9172378,37.5802688,증산역 6호선,785.0,11.2,0.0,308.0,6.0,18.0,24.0,956.0
202510,2025,11,30,12013,서대문구,북가좌동,수색로,DMC래미안e편한세상,,59.97,저층,2012,2025-11-30,2.5,3.96,117.42,100.984,94.447,182.9,192246.6,29788,126.9109013,37.572773,가좌역 경의중앙선,565.0,8.1,1.0,99.0,5.0,10.0,22.0,924.0
