조회연월,시군구코드,시군구명,법정동,아파트명,전용면적(㎡),층,거래금액(만원),거래일자,건축년도,도로명,지번,기준금리,주담대금리,nearest_station,distance_to_station_m,walk_minutes_est,CPI,주택매매가격지수,주택전세가격지수,아파트매매가격지수,본원통화구성내역,경제활동인구,lat,lng
202501,11680,서울특별시 강남구,삼성동,래미안대치팰리스,84.99,15,180000,20250115,2020,테헤란로,123-45,3.25,4.5,선릉역,450,6,110.5,105.3,102.1,108.7,2500000,28000000,37.5048,127.0495
202501,11680,서울특별시 강남구,역삼동,아크로리버파크,59.85,8,125000,20250110,2019,언주로,234-56,3.25,4.5,역삼역,320,4,110.5,105.3,102.1,108.7,2500000,28000000,37.4979,127.0376
202501,11680,서울특별시 강남구,대치동,은마아파트,114.50,12,250000,20250120,2000,도곡로,345-67,3.25,4.5,대치역,280,4,110.5,105.3,102.1,108.7,2500000,28000000,37.4946,127.0619
202501,11650,서울특별시 서초구,서초동,서초더샵,84.91,20,170000,20250112,2021,서초대로,456-78,3.25,4.5,교대역,500,7,110.5,105.3,102.1,108.7,2500000,28000000,37.4923,127.0143
202501,11650,서울특별시 서초구,반포동,래미안퍼스티지,134.82,18,320000,20250108,2018,반포대로,567-89,3.25,4.5,신반포역,350,5,110.5,105.3,102.1,108.7,2500000,28000000,37.5044,127.0077
202501,11590,서울특별시 동작구,사당동,래미안사당,59.92,5,95000,20250118,2015,사당로,678-90,3.25,4.5,사당역,180,3,110.5,105.3,102.1,108.7,2500000,28000000,37.4763,126.9816
202501,11590,서울특별시 동작구,상도동,상도센트럴자이,84.95,14,110000,20250105,2017,상도로,789-01,3.25,4.5,숭실대입구역,420,6,110.5,105.3,102.1,108.7,2500000,28000000,37.5006,126.9479
202501,11740,서울특별시 강동구,천호동,천호센트럴푸르지오,74.88,10,85000,20250114,2016,천호대로,890-12,3.25,4.5,천호역,250,3,110.5,105.3,102.1,108.7,2500000,28000000,37.5383,127.1237
202501,11740,서울특별시 강동구,고덕동,고덕아르테온,59.98,7,78000,20250107,2019,고덕로,901-23,3.25,4.5,고덕역,380,5,110.5,105.3,102.1,108.7,2500000,28000000,37.5544,127.1541
202501,11215,서울특별시 광진구,자양동,자양래미안프라이빗,84.87,16,130000,20250111,2018,자양로,012-34,3.25,4.5,건대입구역,520,7,110.5,105.3,102.1,108.7,2500000,28000000,37.5336,127.0698
