gu_name,아파트,거래량,평균시세
강남구,까치마을,48,12.4억
강남구,개포자이프레지던스,46,35.5억
강남구,강남자곡 힐스테이트,44,12.3억
강남구,래미안강남힐즈,42,20.9억
강남구,성원대치2단지아파트,41,15.0억
강남구,세곡푸르지오,40,15.7억
강남구,도곡렉슬,36,37.5억
강남구,신동아,34,14.2억
강남구,개포래미안포레스트,30,29.6억
강남구,강남엘에이치1단지,25,15.4억
강동구,고덕그라시움,147,20.2억
강동구,래미안힐스테이트고덕,135,18.5억
강동구,고덕아르테온,133,19.0억
강동구,선사현대아파트,132,12.5억
강동구,고덕롯데캐슬베네루체,119,15.6억
강동구,롯데캐슬퍼스트,119,16.8억
강동구,삼익파크맨션,108,10.4억
강동구,삼익그린2차,80,15.9억
강동구,고덕센트럴IPARK,79,16.2억
강동구,래미안솔베뉴,72,16.3억
강북구,에스케이북한산시티,110,6.6억
강북구,벽산라이브파크,53,5.9억
강북구,삼성래미안트리베라2단지,46,8.4억
강북구,삼각산아이원,39,6.8억
강북구,꿈의숲해링턴플레이스,38,8.6억
강북구,두산위브트레지움,35,7.8억
강북구,래미안트리베라1단지,29,8.3억
강북구,미아동부센트레빌,24,8.4억
강북구,주공1단지,24,5.1억
강북구,수유벽산1차,18,6.1억
강서구,강서힐스테이트,83,14.0억
강서구,"우장산아이파크,이편한세상",80,13.1억
강서구,강변,78,6.4억
강서구,가양6단지,77,7.9억
강서구,마곡13단지힐스테이트마스터,59,14.1억
강서구,우장산힐스테이트,59,13.5억
강서구,가양2단지(성지),54,6.2억
강서구,등촌동아이파크,54,11.3억
강서구,가양도시개발9-2단지,53,6.1억
강서구,마곡엠밸리9단지,45,13.8억
관악구,관악푸르지오,89,9.0억
관악구,벽산블루밍,81,8.5억
관악구,관악드림(동아),72,9.5억
관악구,관악산휴먼시아2단지,63,6.8억
관악구,봉천우성,61,8.7억
관악구,관악드림(삼성),49,9.7억
관악구,힐스테이트뉴포레,49,11.4억
관악구,신림현대,47,5.9억
관악구,두산,46,10.4억
관악구,봉천동아,45,9.0억
광진구,더샵스타시티,56,23.1억
광진구,백악관타워,50,3.0억
광진구,현대파크빌,36,18.4억
광진구,현대프라임,36,19.0억
광진구,래미안파크스위트,27,15.3억
광진구,자양우성7,27,13.9억
광진구,현대3,27,16.8억
광진구,e편한세상광진그랜드파크,25,19.5억
광진구,우성3,24,14.5억
광진구,자양호반써밋,24,11.9억
구로구,한마을,65,8.4억
구로구,현대,50,7.9억
구로구,구로두산,47,5.2억
구로구,한진,42,6.0억
구로구,주공1,41,8.4억
구로구,신도림태영타운,40,11.1억
구로구,대림2,38,11.4억
구로구,동아1,38,12.1억
구로구,대우,37,6.3억
구로구,대림1,35,10.4억
금천구,관악산벽산타운5,53,5.2억
금천구,금천롯데캐슬골드파크3차,40,9.9억
금천구,남서울힐스테이트,40,9.3억
금천구,두산,38,6.9억
금천구,금천롯데캐슬골드파크1차,36,10.6억
금천구,독산주공14단지,30,3.8억
금천구,e편한세상독산더타워,21,7.8억
금천구,금천현대,18,5.8억
금천구,남서울건영2,17,3.6억
금천구,벽산,17,4.9억
노원구,중계무지개,94,4.9억
노원구,상계주공6(고층),86,5.8억
노원구,한진한화그랑빌,73,8.9억
노원구,상계주공9(고층),68,4.7억
노원구,상계주공3(고층),66,7.3억
노원구,태강아파트(아이파크),59,5.3억
노원구,중계그린1단지,57,4.9억
노원구,보람아파트,54,5.3억
노원구,장미(시영6),47,5.2억
노원구,포레나노원,47,10.1억
도봉구,창동주공3단지(해등마을),74,5.9억
도봉구,한신,58,5.7억
도봉구,주공17단지,46,3.2억
도봉구,동아청솔,41,8.3억
도봉구,창동주공4단지,38,3.8억
도봉구,주공19단지(창동리버타운),35,8.0억
도봉구,쌍용,34,8.2억
도봉구,삼성래미안,31,7.9억
도봉구,창동주공18단지,31,4.7억
도봉구,서원,29,3.4억
동대문구,래미안위브,123,14.1억
동대문구,래미안크레시티,112,14.8억
동대문구,전농SK,63,9.1억
동대문구,쌍용,55,8.1억
동대문구,힐스테이트청계,53,13.3억
